,Year,Country Code,Country Name,Region,Income Group,Lending Type,MS.MIL.MPRT.KD,MS.MIL.XPND.CD,MS.MIL.XPND.GD.ZS
856,2012,GAB,Gabon,Sub-Saharan Africa ,Upper middle income,IBRD,1000000,278143957.1,1.619804648
857,2012,GBR,United Kingdom,Europe & Central Asia,High income,Not classified,583000000,65452487554,2.420564731
859,2012,GHA,Ghana,Sub-Saharan Africa ,Lower middle income,IDA,39000000,337260972.7,0.804165256
860,2012,GIN,Guinea,Sub-Saharan Africa ,Low income,IDA,4000000,168913357.5,2.286598227
864,2012,GRC,Greece,Europe & Central Asia,High income,Not classified,18000000,5914988423,2.443670816
865,2012,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD,2000000,224366543.6,0.475870731
867,2012,HND,Honduras,Latin America & Caribbean ,Lower middle income,IDA,0,212341274.3,1.146018554
868,2012,HRV,Croatia,Europe & Central Asia,High income,IBRD,19000000,955320163.6,1.688416447
870,2012,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD,212000000,6531097955,0.711549473
871,2012,IND,India,South Asia,Lower middle income,IBRD,4392000000,47216920048,2.618167619
872,2012,IRL,Ireland,Europe & Central Asia,High income,Not classified,2000000,1157531730,0.514494537
873,2012,IRN,"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,IBRD,44000000,16493963287,2.75703583
874,2012,IRQ,Iraq,Middle East & North Africa,Upper middle income,IBRD,476000000,4141066054,1.899568366
876,2012,ISR,Israel,Middle East & North Africa,High income,Not classified,120000000,14600665989,5.671590453
877,2012,ITA,Italy,Europe & Central Asia,High income,Not classified,207000000,29781008205,1.426924977
879,2012,JOR,Jordan,Middle East & North Africa,Upper middle income,IBRD,176000000,1472816901,4.694379358
880,2012,JPN,Japan,East Asia & Pacific,High income,Not classified,205000000,60011530195,0.967427278
881,2012,KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,IBRD,94000000,2177543205,1.046906472
882,2012,KEN,Kenya,Sub-Saharan Africa ,Lower middle income,Blend,62000000,840072590,1.666388978
884,2012,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA,77000000,217305727.7,1.547041585
885,2012,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified,1078000000,31951760810,2.499299881
886,2012,KWT,Kuwait,Middle East & North Africa,High income,Not classified,31000000,5941536637,3.41374158
887,2012,LAO,Lao PDR,East Asia & Pacific,Lower middle income,IDA,19000000,20327157.66,0.199455065
888,2012,LBN,Lebanon,Middle East & North Africa,Lower middle income,IBRD,31000000,1757213930,3.989376345
890,2012,LBY,Libya,Middle East & North Africa,Upper middle income,IBRD,73000000,2987413408,3.745603827
893,2012,LTU,Lithuania,Europe & Central Asia,High income,Not classified,1000000,328631681.6,0.76526581
894,2012,LUX,Luxembourg,Europe & Central Asia,High income,Not classified,1000000,237503049.8,0.428237495
895,2012,LVA,Latvia,Europe & Central Asia,High income,Not classified,9000000,255740342.6,0.902698984
896,2012,MAR,Morocco,Middle East & North Africa,Lower middle income,IBRD,895000000,3402700836,3.462750079
899,2012,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD,257000000,5717035575,0.475987281
901,2012,MLI,Mali,Sub-Saharan Africa ,Low income,IDA,9000000,148865779.9,1.196405745
902,2012,MLT,Malta,Middle East & North Africa,High income,Not classified,8000000,49922008.91,0.527587899
903,2012,MMR,Myanmar,East Asia & Pacific,Lower middle income,IDA,395000000,2969236076,3.899365811
905,2012,MNG,Mongolia,East Asia & Pacific,Lower middle income,IBRD,79000000,113622769.9,0.924305619
906,2012,MOZ,Mozambique,Sub-Saharan Africa ,Low income,IDA,0,139100553.3,0.850726008
907,2012,MRT,Mauritania,Sub-Saharan Africa ,Lower middle income,IDA,11000000,142299912.3,2.261641459
909,2012,MWI,Malawi,Sub-Saharan Africa ,Low income,IDA,1000000,46155953.69,0.765630689
910,2012,MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD,47000000,4507252007,1.413330707
911,2012,NAM,Namibia,Sub-Saharan Africa ,Upper middle income,IBRD,57000000,412163503.6,3.166513185
913,2012,NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,Blend,28000000,2316478200,0.502541122
915,2012,NLD,Netherlands,Europe & Central Asia,High income,Not classified,254000000,10364720787,1.235408888
916,2012,NOR,Norway,Europe & Central Asia,High income,Not classified,143000000,7143962183,1.402134172
918,2012,NZL,New Zealand,East Asia & Pacific,High income,Not classified,30000000,2094946041,1.196962403
919,2012,OMN,Oman,Middle East & North Africa,High income,Not classified,120000000,9250650195,12.07406615
920,2012,PAK,Pakistan,South Asia,Lower middle income,Blend,1014000000,7478971082,3.484398773
921,2012,PAN,Panama,Latin America & Caribbean ,High income,IBRD,15000000,0,0
922,2012,PER,Peru,Latin America & Caribbean ,Upper middle income,IBRD,10000000,2857983382,1.481803909
923,2012,PHL,Philippines,East Asia & Pacific,Lower middle income,IBRD,16000000,2898685257,1.10670419
925,2012,POL,Poland,Europe & Central Asia,High income,IBRD,223000000,8986838792,1.802713001
926,2012,PRT,Portugal,Europe & Central Asia,High income,Not classified,39000000,4137254045,1.912137076
927,2012,PRY,Paraguay,Latin America & Caribbean ,Upper middle income,IBRD,7000000,320909756.6,0.964179103
929,2012,ROU,Romania,Europe & Central Asia,High income,IBRD,21000000,2102886223,1.232382746
930,2012,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD,121000000,81469399931,3.689240435
931,2012,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA,5000000,79793910.09,1.090720961
932,2012,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified,1033000000,56497866667,7.676602968
935,2012,SGP,Singapore,East Asia & Pacific,High income,Not classified,745000000,9171948019,3.10816619
936,2012,SLE,Sierra Leone,Sub-Saharan Africa ,Low income,IDA,0,29758934.08,0.782800531
937,2012,SLV,El Salvador,Latin America & Caribbean ,Lower middle income,IBRD,2000000,224300000,1.048809627
938,2012,SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD,0,853622633.2,1.970993656
939,2012,SSD,South Sudan,Sub-Saharan Africa ,Low income,IDA,2000000,988225988.7,8.771124113
941,2012,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified,2000000,1020180035,1.079159532
943,2012,SWE,Sweden,Europe & Central Asia,High income,Not classified,207000000,6243671605,1.130110289
949,2012,THA,Thailand,East Asia & Pacific,Upper middle income,IBRD,278000000,5491915221,1.381411553
953,2012,TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,IBRD,12000000,168762442.5,0.662025828
955,2012,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD,1503000000,17694320713,2.009447799
956,2012,TZA,Tanzania,Sub-Saharan Africa ,Lower middle income,IDA,115000000,359739418.8,0.913799354
957,2012,UGA,Uganda,Sub-Saharan Africa ,Low income,IDA,216000000,351838247,1.227503204
960,2012,USA,United States,North America,High income,Not classified,1207000000,7.25205E+11,4.477401219
961,2012,VEN,"Venezuela, RB",Latin America & Caribbean ,Not classified,IBRD,687000000,5114847100,1.341471732
962,2012,VNM,Vietnam,East Asia & Pacific,Lower middle income,IBRD,780000000,3360860380,2.156886368
964,2012,YEM,"Yemen, Rep.",Middle East & North Africa,Low income,IDA,38000000,1618840127,4.573884277
965,2012,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD,132000000,4489590096,1.132793112
966,2012,ZMB,Zambia,Sub-Saharan Africa ,Low income,IDA,66000000,346301423.1,1.357868639
968,2013,AFG,Afghanistan,South Asia,Low income,IDA,235000000,217194107.1,1.076949768
969,2013,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD,30000000,6090751702,4.455239422
970,2013,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD,7000000,180015508.8,1.408982101
971,2013,ARE,United Arab Emirates,Middle East & North Africa,High income,Not classified,2306000000,23561061947,6.034686251
972,2013,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD,12000000,5137974301,0.83773643
973,2013,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD,16000000,444551859.5,3.997244557
974,2013,AUS,Australia,East Asia & Pacific,High income,Not classified,245000000,24825262589,1.639720581
975,2013,AUT,Austria,Europe & Central Asia,High income,Not classified,6000000,3229065841,0.750825383
976,2013,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,385000000,3367574161,4.54092331
978,2013,BEL,Belgium,Europe & Central Asia,High income,Not classified,46000000,5263164883,1.008959479
979,2013,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA,2000000,86003157.64,0.687239684
981,2013,BGD,Bangladesh,South Asia,Lower middle income,IDA,649000000,2047989071,1.258197522
983,2013,BHR,Bahrain,Middle East & North Africa,High income,Not classified,72000000,1347606383,4.141451789
985,2013,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD,75000000,959801690.3,1.270796652
987,2013,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD,1000000,564409840.8,1.840906756
988,2013,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD,223000000,32874787231,1.329446084
989,2013,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified,15000000,412094279.8,2.277507595
990,2013,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD,9000000,306438573.6,2.056395513
992,2013,CAN,Canada,North America,High income,Not classified,202000000,18515731210,1.002367201
993,2013,CHE,Switzerland,Europe & Central Asia,High income,Not classified,6000000,5032883664,0.706124077
994,2013,CHL,Chile,Latin America & Caribbean ,High income,IBRD,54000000,5529879481,1.986419474
995,2013,CHN,China,East Asia & Pacific,Upper middle income,IBRD,1289000000,1.6407E+11,1.702855096
997,2013,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend,139000000,392840630.9,1.214414615
998,2013,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA,1000000,374475653.4,1.146177977
999,2013,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend,12000000,367057295.5,2.61779522
1000,2013,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD,164000000,12503812627,3.274401004
1006,2013,DEU,Germany,Europe & Central Asia,High income,Not classified,113000000,44242647303,1.185257901
1008,2013,DNK,Denmark,Europe & Central Asia,High income,Not classified,38000000,4216647585,1.227252
1010,2013,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD,362000000,10161588239,4.844508917
1011,2013,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD,11000000,2735825000,2.875890683
1012,2013,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD,673000000,4359834244,1.610056977
1013,2013,ESP,Spain,Europe & Central Asia,High income,Not classified,155000000,17242959322,1.272770663
1014,2013,EST,Estonia,Europe & Central Asia,High income,Not classified,18000000,479314460.8,1.896666618
1015,2013,ETH,Ethiopia,Sub-Saharan Africa ,Low income,IDA,153000000,345064165.8,0.806417117
1016,2013,FIN,Finland,Europe & Central Asia,High income,Not classified,296000000,4161139945,1.533860935
1018,2013,FRA,France,Europe & Central Asia,High income,Not classified,107000000,52001462448,1.849875918
1019,2013,GAB,Gabon,Sub-Saharan Africa ,Upper middle income,IBRD,2000000,282163387.6,1.60404718
1020,2013,GBR,United Kingdom,Europe & Central Asia,High income,Not classified,494000000,63837724855,2.293640241
1021,2013,GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD,5000000,441878927,2.570552435
1022,2013,GHA,Ghana,Sub-Saharan Africa ,Lower middle income,IDA,63000000,254997057.4,0.533396427
1027,2013,GRC,Greece,Europe & Central Asia,High income,Not classified,28000000,5655183036,2.371303983
1030,2013,HND,Honduras,Latin America & Caribbean ,Lower middle income,IDA,20000000,294917779.4,1.601318215
1033,2013,HUN,Hungary,Europe & Central Asia,High income,Not classified,2000000,1280050962,0.945303081
1034,2013,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD,801000000,8384028601,0.918769839
1035,2013,IND,India,South Asia,Lower middle income,IBRD,5381000000,47403528801,2.548825679
1037,2013,IRN,"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,IBRD,13000000,11997186984,2.244534791
1038,2013,IRQ,Iraq,Middle East & North Africa,Upper middle income,IBRD,353000000,7780188679,3.315830962
1040,2013,ISR,Israel,Middle East & North Africa,High income,Not classified,209000000,16324818044,5.578540011
1041,2013,ITA,Italy,Europe & Central Asia,High income,Not classified,81000000,29957445905,1.399020419
1042,2013,JAM,Jamaica,Latin America & Caribbean ,Upper middle income,IBRD,1000000,128431323,0.899069667
1043,2013,JOR,Jordan,Middle East & North Africa,Upper middle income,IBRD,75000000,1444929577,4.241490054
1044,2013,JPN,Japan,East Asia & Pacific,High income,Not classified,252000000,49023932407,0.95086605
1045,2013,KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,IBRD,141000000,2551124375,1.078084754
1046,2013,KEN,Kenya,Sub-Saharan Africa ,Lower middle income,Blend,1000000,860560896.1,1.561909916
1048,2013,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA,67000000,243470109.9,1.596573701
1049,2013,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified,191000000,34311220715,2.503009023
1050,2013,KWT,Kuwait,Middle East & North Africa,High income,Not classified,73000000,5697937802,3.271518381
1051,2013,LAO,Lao PDR,East Asia & Pacific,Lower middle income,IDA,19000000,22677713.12,0.189895182
1052,2013,LBN,Lebanon,Middle East & North Africa,Lower middle income,IBRD,24000000,1935718241,4.165398139
1054,2013,LBY,Libya,Middle East & North Africa,Upper middle income,IBRD,116000000,3964690154,7.639284545
1055,2013,LKA,Sri Lanka,South Asia,Lower middle income,IBRD,20000000,1600841410,2.154048243
1057,2013,LTU,Lithuania,Europe & Central Asia,High income,Not classified,73000000,354862149.7,0.762907482
1059,2013,LVA,Latvia,Europe & Central Asia,High income,Not classified,5000000,283568932.7,0.931786713
1060,2013,MAR,Morocco,Middle East & North Africa,Lower middle income,IBRD,75000000,4065552317,3.805782901
1062,2013,MDG,Madagascar,Sub-Saharan Africa ,Low income,IDA,0,71877874.49,0.677983716
1064,2013,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD,51000000,6473144378,0.507919455
1065,2013,MKD,North Macedonia,Europe & Central Asia,Upper middle income,IBRD,1000000,126506348.7,1.169437189
1066,2013,MLI,Mali,Sub-Saharan Africa ,Low income,IDA,6000000,153833697.7,1.161980014
1068,2013,MMR,Myanmar,East Asia & Pacific,Lower middle income,IDA,250000000,2366989085,4.044493936
1071,2013,MOZ,Mozambique,Sub-Saharan Africa ,Low income,IDA,9000000,157892114.4,0.93018223
1074,2013,MWI,Malawi,Sub-Saharan Africa ,Low income,IDA,2000000,62925520.09,1.140185319
1075,2013,MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD,77000000,4915722759,1.499295799
1076,2013,NAM,Namibia,Sub-Saharan Africa ,Upper middle income,IBRD,9000000,389958736.7,3.066233242
1077,2013,NER,Niger,Sub-Saharan Africa ,Low income,IDA,13000000,106064286.3,1.383215316
1078,2013,NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,Blend,29000000,2418760171,0.469695301
1080,2013,NLD,Netherlands,Europe & Central Asia,High income,Not classified,451000000,10226260325,1.166151624
1081,2013,NOR,Norway,Europe & Central Asia,High income,Not classified,51000000,7391829787,1.413996504
1083,2013,NZL,New Zealand,East Asia & Pacific,High income,Not classified,26000000,2134105838,1.141186376
1084,2013,OMN,Oman,Middle East & North Africa,High income,Not classified,487000000,8766319896,11.1269749
1085,2013,PAK,Pakistan,South Asia,Lower middle income,Blend,1095000000,7645455529,3.470972507
1086,2013,PAN,Panama,Latin America & Caribbean ,High income,IBRD,30000000,0,0
1087,2013,PER,Peru,Latin America & Caribbean ,Upper middle income,IBRD,22000000,3305451871,1.63533997
1088,2013,PHL,Philippines,East Asia & Pacific,Lower middle income,IBRD,78000000,3377027861,1.189501729
1090,2013,POL,Poland,Europe & Central Asia,High income,IBRD,145000000,9275711727,1.780322628
1091,2013,PRT,Portugal,Europe & Central Asia,High income,Not classified,12000000,4724102082,2.089630624
1092,2013,PRY,Paraguay,Latin America & Caribbean ,Upper middle income,IBRD,0,371215575.4,0.962063386
1094,2013,ROU,Romania,Europe & Central Asia,High income,IBRD,20000000,2452512981,1.285382818
1095,2013,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD,183000000,88352896464,3.854042583
1096,2013,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA,15000000,82480715.58,1.082065328
1097,2013,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified,1614000000,67020000000,8.976127733
1099,2013,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA,5000000,236737916,1.24860569
1100,2013,SGP,Singapore,East Asia & Pacific,High income,Not classified,749000000,9345680492,3.038491149
1101,2013,SLE,Sierra Leone,Sub-Saharan Africa ,Low income,IDA,1000000,31684939.41,0.643965907
1105,2013,SSD,South Sudan,Sub-Saharan Africa ,Low income,IDA,9000000,981983050.8,6.572757484
1107,2013,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified,5000000,967923107.9,0.979196941
1109,2013,SWE,Sweden,Europe & Central Asia,High income,Not classified,56000000,6528737467,1.112520539
1111,2013,SYC,Seychelles,Sub-Saharan Africa ,High income,IBRD,8000000,13766451.32,1.036558933
1113,2013,TCD,Chad,Sub-Saharan Africa ,Low income,IDA,59000000,726459396,5.592313244
1115,2013,THA,Thailand,East Asia & Pacific,Upper middle income,IBRD,357000000,5901296947,1.403956885
1120,2013,TUN,Tunisia,Middle East & North Africa,Lower middle income,IBRD,38000000,759358881.2,1.641616026
1121,2013,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD,793000000,18427646197,1.923959333
1122,2013,TZA,Tanzania,Sub-Saharan Africa ,Lower middle income,IDA,118000000,443379945.5,0.972362603
1123,2013,UGA,Uganda,Sub-Saharan Africa ,Low income,IDA,20000000,300075573.4,0.992555157
1125,2013,URY,Uruguay,Latin America & Caribbean ,High income,IBRD,3000000,1045084368,1.816551302
1126,2013,USA,United States,North America,High income,Not classified,791000000,6.79229E+11,4.046678879
1127,2013,VEN,"Venezuela, RB",Latin America & Caribbean ,Not classified,IBRD,993000000,6199698500,1.669551783
1128,2013,VNM,Vietnam,East Asia & Pacific,Lower middle income,IBRD,362000000,3727249276,2.176849795
1130,2013,YEM,"Yemen, Rep.",Middle East & North Africa,Low income,IDA,23000000,1648750524,4.079527404
1131,2013,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD,2000000,4118208483,1.123274262
1134,2014,AFG,Afghanistan,South Asia,Low income,IDA,288000000,268227074.2,1.298012878
1135,2014,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD,2000000,6846249313,4.698454516
1136,2014,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD,7000000,178120368,1.346515991
1137,2014,ARE,United Arab Emirates,Middle East & North Africa,High income,Not classified,768000000,22755071477,5.643651353
1138,2014,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD,7000000,4979442724,0.878100919
1140,2014,AUS,Australia,East Asia & Pacific,High income,Not classified,906000000,25783708714,1.772233857
1141,2014,AUT,Austria,Europe & Central Asia,High income,Not classified,2000000,3305159256,0.747780095
1142,2014,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,624000000,3427179917,4.555013124
1144,2014,BEL,Belgium,Europe & Central Asia,High income,Not classified,104000000,5191507315,0.970959791
1146,2014,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA,5000000,177166971.8,1.431285455
1147,2014,BGD,Bangladesh,South Asia,Lower middle income,IDA,203000000,2355991525,1.279412463
1149,2014,BHR,Bahrain,Middle East & North Africa,High income,Not classified,1000000,1475265957,4.418589461
1152,2014,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD,66000000,1000013449,1.26884247
1154,2014,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD,46000000,625885094.1,1.89684061
1155,2014,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD,209000000,32660239369,1.330244423
1156,2014,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified,121000000,527785180.5,3.086860958
1159,2014,CAN,Canada,North America,High income,Not classified,316000000,17853640478,0.989925299
1160,2014,CHE,Switzerland,Europe & Central Asia,High income,Not classified,5000000,4612776477,0.628104288
1161,2014,CHL,Chile,Latin America & Caribbean ,High income,IBRD,141000000,5102777422,1.958526713
1162,2014,CHN,China,East Asia & Pacific,Upper middle income,IBRD,1077000000,1.82109E+11,1.728689068
1163,2014,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA,5000000,521260529.3,1.475969049
1164,2014,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend,122000000,401529118.1,1.149088972
1166,2014,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend,13000000,704893729.4,5.007370687
1167,2014,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD,160000000,11845950895,3.108258848
1169,2014,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD,1000000,0,0
1173,2014,DEU,Germany,Europe & Central Asia,High income,Not classified,95000000,44662831168,1.149941997
1175,2014,DNK,Denmark,Europe & Central Asia,High income,Not classified,173000000,4056861511,1.149273286
1177,2014,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD,620000000,9724379972,5.548483336
1178,2014,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD,53000000,2786519000,2.739230809
1179,2014,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD,420000000,5085121576,1.689694836
1180,2014,ESP,Spain,Europe & Central Asia,High income,Not classified,109000000,17178549315,1.254459104
1181,2014,EST,Estonia,Europe & Central Asia,High income,Not classified,2000000,512119045.1,1.912785931
1182,2014,ETH,Ethiopia,Sub-Saharan Africa ,Low income,IDA,33000000,414476025.8,0.768411101
1183,2014,FIN,Finland,Europe & Central Asia,High income,Not classified,198000000,3985508352,1.451930188
1185,2014,FRA,France,Europe & Central Asia,High income,Not classified,17000000,53134750899,1.86296144
1187,2014,GBR,United Kingdom,Europe & Central Asia,High income,Not classified,211000000,66995468654,2.183906248
1188,2014,GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD,1000000,415643210.9,2.357939594
1189,2014,GHA,Ghana,Sub-Saharan Africa ,Lower middle income,IDA,14000000,252653833.7,0.678998541
1190,2014,GIN,Guinea,Sub-Saharan Africa ,Low income,IDA,6000000,196945589.8,2.240219514
1193,2014,GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,IBRD,92000000,166540270.5,0.766177854
1194,2014,GRC,Greece,Europe & Central Asia,High income,Not classified,204000000,5531285909,2.350782884
1197,2014,HND,Honduras,Latin America & Caribbean ,Lower middle income,IDA,13000000,314071900.2,1.548645141
1198,2014,HRV,Croatia,Europe & Central Asia,High income,IBRD,27000000,1063469743,1.845033536
1200,2014,HUN,Hungary,Europe & Central Asia,High income,Not classified,7000000,1209801890,0.859447823
1201,2014,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD,1177000000,6929248704,0.777855178
1202,2014,IND,India,South Asia,Lower middle income,IBRD,3347000000,50914096277,2.543982503
1203,2014,IRL,Ireland,Europe & Central Asia,High income,Not classified,40000000,1192733691,0.46067574
1204,2014,IRN,"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,IBRD,13000000,9901118855,2.281078729
1205,2014,IRQ,Iraq,Middle East & North Africa,Upper middle income,IBRD,665000000,6923644082,2.950613991
1207,2014,ISR,Israel,Middle East & North Africa,High income,Not classified,541000000,17810043531,5.753370057
1208,2014,ITA,Italy,Europe & Central Asia,High income,Not classified,141000000,27701034335,1.282969654
1210,2014,JOR,Jordan,Middle East & North Africa,Upper middle income,IBRD,197000000,1548873239,4.263219633
1211,2014,JPN,Japan,East Asia & Pacific,High income,Not classified,307000000,46903466613,0.966999335
1212,2014,KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,IBRD,95000000,2306468865,1.041692055
1213,2014,KEN,Kenya,Sub-Saharan Africa ,Lower middle income,Blend,17000000,819042626.8,1.33290268
1216,2014,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified,723000000,37552298954,2.529935781
1217,2014,KWT,Kuwait,Middle East & North Africa,High income,Not classified,692000000,5832103420,3.58566529
1218,2014,LBN,Lebanon,Middle East & North Africa,Lower middle income,IBRD,6000000,2270065960,4.678175228
1221,2014,LKA,Sri Lanka,South Asia,Lower middle income,IBRD,5000000,1914591220,2.412647012
1223,2014,LTU,Lithuania,Europe & Central Asia,High income,Not classified,3000000,426913695.4,0.879596258
1225,2014,LVA,Latvia,Europe & Central Asia,High income,Not classified,5000000,295728965.3,0.943935284
1226,2014,MAR,Morocco,Middle East & North Africa,Lower middle income,IBRD,559000000,4048612524,3.677856352
1229,2014,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD,85000000,6758693845,0.513829957
1231,2014,MLI,Mali,Sub-Saharan Africa ,Low income,IDA,1000000,218118403.1,1.520379221
1232,2014,MLT,Malta,Middle East & North Africa,High income,Not classified,12000000,56514879.92,0.48676155
1233,2014,MMR,Myanmar,East Asia & Pacific,Lower middle income,IDA,99000000,2372895912,3.789505953
1236,2014,MOZ,Mozambique,Sub-Saharan Africa ,Low income,IDA,15000000,173752249,0.980759494
1237,2014,MRT,Mauritania,Sub-Saharan Africa ,Lower middle income,IDA,8000000,144844330.7,2.155906963
1238,2014,MUS,Mauritius,Sub-Saharan Africa ,Upper middle income,IBRD,28000000,19744222.08,0.154210304
1239,2014,MWI,Malawi,Sub-Saharan Africa ,Low income,IDA,2000000,49454535.91,0.8177259
1240,2014,MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD,73000000,4919245323,1.434733015
1241,2014,NAM,Namibia,Sub-Saharan Africa ,Upper middle income,IBRD,2000000,537456013.7,4.203429614
1242,2014,NER,Niger,Sub-Saharan Africa ,Low income,IDA,4000000,145600369.9,1.769085739
1243,2014,NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,Blend,218000000,2357671219,0.414718775
1244,2014,NIC,Nicaragua,Latin America & Caribbean ,Lower middle income,IDA,13000000,81391929.94,0.685091959
1245,2014,NLD,Netherlands,Europe & Central Asia,High income,Not classified,9000000,10332602878,1.159687891
1246,2014,NOR,Norway,Europe & Central Asia,High income,Not classified,16000000,7336785328,1.472038777
1247,2014,NPL,Nepal,South Asia,Lower middle income,IDA,5000000,328115662.2,1.629341062
1248,2014,NZL,New Zealand,East Asia & Pacific,High income,Not classified,85000000,2274145714,1.139631756
1249,2014,OMN,Oman,Middle East & North Africa,High income,Not classified,714000000,8213524057,10.13055752
1250,2014,PAK,Pakistan,South Asia,Lower middle income,Blend,828000000,8654923192,3.47657944
1252,2014,PER,Peru,Latin America & Caribbean ,Upper middle income,IBRD,152000000,3217574657,1.590600829
1253,2014,PHL,Philippines,East Asia & Pacific,Lower middle income,IBRD,12000000,3103131460,1.043127066
1254,2014,PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,Blend,3000000,112375755.9,0.487315011
1255,2014,POL,Poland,Europe & Central Asia,High income,IBRD,259000000,10345153575,1.907046453
1257,2014,PRT,Portugal,Europe & Central Asia,High income,Not classified,3000000,4111548064,1.790511278
1260,2014,ROU,Romania,Europe & Central Asia,High income,IBRD,0,2691470287,1.345998582
1261,2014,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD,218000000,84696504653,4.112992978
1262,2014,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA,14000000,90937793.22,1.134412733
1263,2014,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified,2740000000,80762400000,10.67791006
